,date,open,high,low,close,volume
0,2018-07-05,272.17,273.18,270.96,273.11,56925919.0
1,2018-07-06,273.14,275.84,272.715,275.42,66493696.0
2,2018-07-09,276.55,277.96,276.5,277.9,50550399.0
3,2018-07-10,278.41,279.01,278.08,278.9,51966829.0
4,2018-07-11,277.15,278.04,276.52,276.86,77054739.0
5,2018-07-12,278.28,279.43,277.6,279.37,60124687.0
6,2018-07-13,279.17,279.93,278.66,279.59,48234964.0
7,2018-07-16,279.64,279.803,278.84,279.34,48201038.0
8,2018-07-17,278.47,280.91,278.41,280.47,52315500.0
9,2018-07-18,280.56,281.18,280.06,281.06,44593465.0
10,2018-07-19,280.31,280.74,279.46,280.0,61412117.0
11,2018-07-20,279.77,280.48,279.5,279.68,82372729.0
12,2018-07-23,279.45,280.43,279.06,280.2,47047565.0
13,2018-07-24,281.79,282.56,280.63,281.61,68026935.0
14,2018-07-25,281.33,284.37,281.28,284.01,78882927.0
15,2018-07-26,283.2,284.11,283.09,283.34,57919495.0
16,2018-07-27,283.71,283.82,280.38,281.42,76783177.0
17,2018-07-30,281.51,281.69,279.36,279.95,63742508.0
18,2018-07-31,280.81,282.02,280.38,281.33,68570493.0
19,2018-08-01,281.56,282.13,280.1315,280.86,53853326.0
20,2018-08-02,279.39,282.58,279.16,282.39,63426363.0
21,2018-08-03,282.53,283.6577,282.33,283.6,53935386.0
22,2018-08-06,283.64,284.99,283.2015,284.64,39400887.0
23,2018-08-07,285.39,286.01,285.24,285.58,43196646.0
24,2018-08-08,285.39,285.91,284.94,285.46,42114551.0
25,2018-08-09,285.53,285.97,284.915,285.07,35716976.0
26,2018-08-10,283.45,284.055,282.36,283.16,77076044.0
27,2018-08-13,283.47,284.16,281.77,282.1,65732909.0
28,2018-08-14,282.92,284.17,282.4833,283.9,43842031.0
29,2018-08-15,282.38,282.54,280.16,281.78,102925355.0
30,2018-08-16,283.4,285.04,283.36,284.06,69967919.0
31,2018-08-17,283.83,285.5601,283.37,285.06,65618481.0
32,2018-08-20,285.57,285.97,285.06,285.67,39807490.0
33,2018-08-21,286.25,287.31,285.7135,286.34,67271983.0
34,2018-08-22,285.88,286.76,285.575,286.17,44993333.0
35,2018-08-23,285.97,286.94,285.43,285.79,49204851.0
36,2018-08-24,286.44,287.67,286.38,287.51,57487399.0
37,2018-08-27,288.86,289.9,288.68,289.78,57072377.0
38,2018-08-28,290.3,290.4175,289.4,289.92,46943472.0
39,2018-08-29,290.16,291.74,289.8854,291.48,61485514.0
40,2018-08-30,290.94,291.36,289.63,290.3,61229501.0
41,2018-08-31,289.84,290.81,289.29,290.31,66140838.0
42,2018-09-04,289.84,290.21,288.68,289.81,57594367.0
43,2018-09-05,289.41,289.64,287.89,289.03,72452437.0
44,2018-09-06,289.15,289.49,287.0,288.16,65909863.0
45,2018-09-07,286.98,288.7,286.71,287.6,73524824.0
46,2018-09-10,288.74,289.04,287.88,288.1,50191113.0
47,2018-09-11,287.37,289.55,286.975,289.05,50530492.0
48,2018-09-12,289.06,289.8,288.23,289.12,59810758.0
49,2018-09-13,290.32,291.0384,289.995,290.83,51034222.0
50,2018-09-14,291.06,291.27,290.0,290.88,55079875.0
51,2018-09-17,290.82,290.86,289.03,289.34,68244043.0
52,2018-09-18,289.58,291.58,289.55,290.91,61930407.0
53,2018-09-19,290.97,291.69,290.825,291.22,49080562.0
54,2018-09-20,292.64,293.94,291.2363,293.58,100360646.0
55,2018-09-21,293.09,293.22,291.81,291.99,105479656.0
56,2018-09-24,291.34,291.5,290.37,291.02,53409645.0
57,2018-09-25,291.53,291.65,290.4833,290.75,44370037.0
58,2018-09-26,290.91,292.24,289.41,289.88,79739674.0
59,2018-09-27,290.41,291.91,290.1,290.69,59249455.0
60,2018-09-28,289.99,291.28,289.95,290.72,70091385.0
61,2018-10-01,292.11,292.93,290.98,291.73,62078937.0
62,2018-10-02,291.56,292.355,291.14,291.56,47258227.0
63,2018-10-03,292.74,293.21,291.32,291.72,64694594.0
64,2018-10-04,291.18,291.24,287.66,289.44,111545910.0
65,2018-10-05,289.69,290.27,286.22,287.82,105951698.0
66,2018-10-08,287.05,288.22,285.5,287.82,87742172.0
67,2018-10-09,287.39,288.86,286.77,287.4,74338982.0
68,2018-10-10,286.83,286.91,277.88,278.3,214731000.0
69,2018-10-11,277.08,278.9,270.36,272.17,274840491.0
70,2018-10-12,276.77,277.09,272.37,275.95,183186492.0
71,2018-10-15,275.55,277.04,274.3,274.4,102263717.0
72,2018-10-16,276.6,280.82,276.07,280.4,118255834.0
73,2018-10-17,280.44,281.15,277.56,280.45,110625987.0
74,2018-10-18,279.4,280.07,274.97,276.4,134557525.0
75,2018-10-19,277.13,279.3,275.47,276.25,139901634.0
76,2018-10-22,277.0,277.36,274.41,275.01,82415812.0
77,2018-10-23,270.95,274.87,268.61,273.61,146352719.0
78,2018-10-24,273.33,273.76,264.7,265.32,177806697.0
79,2018-10-25,267.38,271.81,266.23,270.08,138061545.0
80,2018-10-26,265.92,271.0,262.29,265.33,201574596.0
81,2018-10-29,268.8,270.25,259.85,263.86,160749101.0
82,2018-10-30,263.67,268.12,263.12,267.77,157115995.0
83,2018-10-31,270.65,273.23,270.12,270.63,128296325.0
84,2018-11-01,271.6,273.73,270.38,273.51,99495037.0
85,2018-11-02,274.75,275.23,269.59,271.89,122634107.0
86,2018-11-05,272.44,274.01,271.35,273.39,65622482.0
87,2018-11-06,273.32,275.3,273.25,275.12,60085894.0
88,2018-11-07,277.56,281.1,277.08,281.01,102752099.0
89,2018-11-08,280.11,281.22,279.22,280.5,65584886.0
90,2018-11-09,279.03,279.24,276.18,277.76,98812561.0
91,2018-11-12,277.19,277.46,271.99,272.57,99673574.0
92,2018-11-13,273.09,275.325,271.25,272.06,98176610.0
93,2018-11-14,274.16,274.61,268.45,270.2,125335931.0
94,2018-11-15,268.78,273.54,267.0102,273.02,135101437.0
95,2018-11-16,271.79,274.75,271.21,273.73,126668040.0
96,2018-11-19,273.05,273.38,268.07,269.1,103061706.0
97,2018-11-20,265.36,267.0,263.15,264.12,136021311.0
98,2018-11-21,265.86,267.15,265.01,265.02,75563743.0
99,2018-11-23,263.18,264.8234,263.07,263.25,42807878.0
